ID,page,time,look_tel,look_information
7r55bil9vmv38scfegvohogpetkoo5tt,626787,"2020-08-20 00:09:47",0,0
ep6fmpclo7qf8aii73j9cbejia6osvta,736570,"2020-08-20 00:09:47",0,0
jkrr2dqb5msg1jpq12i3l5aeh3de0vmf,624207,"2020-08-20 00:09:48",0,0
meo052l79eo9j7b0ldc9hqmm2uau20ln,761730,"2020-08-20 00:09:49",0,0
o30cnut6lh7lkqaon66urg4987g7v76b,594533,"2020-08-20 00:09:49",0,0
mjs7tg4tckeu32c1d4o35o971gnt5ff9,616016,"2020-08-20 00:09:49",0,0
75pigkg73078f5corhi4sq7stkngbdk7,690050,"2020-08-20 00:09:50",0,0
g4anrilmbc3vm7vs32vedkcu1tiji3cf,754221,"2020-08-20 00:09:51",0,0
5s1q2godihpjutv7kgnkvnftu73mfnmb,625526,"2020-08-20 00:09:55",0,0
nr5rhs46jqppck7f3uml50ju19bba9om,627573,"2020-08-20 00:09:56",0,0
457j91r0h3vee8b819rmedg2h83l5vn1,769730,"2020-08-20 00:09:56",0,0
p03uvqq2o98jjtiosnjl3qbn5j0391n3,520240,"2020-08-20 00:09:57",0,0
lj6tmbhtm5m45pr99h9o6vckd3nmsghu,583931,"2020-08-20 00:09:57",0,0
31lel9gshufgl7slf0td355ghcgoi9u5,626800,"2020-08-20 00:09:57",0,0
fbj6mp2r1cl17likmb0t1frp0fmkekq0,602565,"2020-08-20 00:09:58",0,0
fjrefji7ruoq4eoo1g46fnkv9n18dc54,547751,"2020-08-20 00:09:58",0,0
f457kn42spqm4olr4se5cr5mclm5gvbp,712637,"2020-08-20 00:09:58",0,0
d847e0ejnc7lfs8it248sgv5r0s5l62c,644480,"2020-08-20 00:09:58",0,0
85bt1kr896ojucaah7bfpqt3g2g4s3tr,603008,"2020-08-20 00:09:59",0,0
81sc066j6uek2479lcsp0m3unirq9bh1,616011,"2020-08-20 00:09:59",0,0
vkjoenrovg1okv6dolu2u39kapspupq0,547708,"2020-08-20 00:09:59",0,0
2rtacaso3n3a8dll88qsddir1p2henc7,635601,"2020-08-20 00:10:00",0,0
up26uhhb352ro93sprrlenbkpjs13kse,639081,"2020-08-20 00:10:01",0,0
73m6ba8186au18rv429nlg3i3rmf4vtc,714495,"2020-08-20 00:10:02",0,0
6ks2vkif918d1d3t8el5e9t3m9hmgjji,769740,"2020-08-20 00:10:02",0,0
uu5an8582sggseetjuqtfpciop7kpheq,735934,"2020-08-20 00:10:02",0,0
jvidc3jrdipn6r14ci13klr340vl3akd,394729,"2020-08-20 00:10:02",0,0
iqb39tbbh3nk0h8gfek6kanh99mcelgt,730148,"2020-08-20 00:10:02",0,0
ori1den4a1d269af4pkrmpapj9oo723m,504070,"2020-08-20 00:10:03",0,0
8kitp3oji3rip1k8c3a97vc80p7cpnb1,330187,"2020-08-20 00:10:04",0,0
2p6aa81pfe733q3lnf0ul325jnf7uhgj,688111,"2020-08-20 00:10:04",0,0
29osc2302cadhg4sutamoppjjg03sdbi,539117,"2020-08-20 00:10:05",0,0
i1jk8vqfknhpcvqmiqe9d0bvcqjtoqfk,601429,"2020-08-20 00:10:06",0,0
r8l7jigl4nfqknumqa5eoid6n05bqps2,506186,"2020-08-20 00:10:06",0,0
630paqin56mviicqi3k64ndpad36glq0,628649,"2020-08-20 00:10:07",0,0
ki980lsf7q3ghotudibsepsopddb70lu,724610,"2020-08-20 00:10:07",0,0
l7c2iu4snhf8her9ic91e18lt9umct96,752383,"2020-08-20 00:10:08",0,0
m2v6285vgk3e9cdar96qrorq07mv5o7e,769691,"2020-08-20 00:10:08",0,0
ii97slf0pcv1pkkcvpfk8u4lppo3816i,621427,"2020-08-20 00:10:10",0,0
fs2kdvht0b24th65dt20ev7v07ih2hbs,769572,"2020-08-20 00:10:10",0,0
g52p27s02cmu66ldetrcn2ftfje35u3b,641493,"2020-08-20 00:10:11",0,0
7lquotsj2m5srtfsjctmtettbk9fpi8s,624602,"2020-08-20 00:10:11",0,0
6tjha0aqa6trlc8b3hb8erj7juhar1dt,666931,"2020-08-20 00:10:11",0,0
1e227ke2sqqqc2nehcg2jq9jpo00m3bv,769621,"2020-08-20 00:10:14",0,0
o2okuaperaffph2dud0giuc1f5kt8qpt,245119,"2020-08-20 00:10:15",0,0
t83vottdh17klrjiglfmtbia8qnacodf,615998,"2020-08-20 00:10:17",0,0
1vol6dqsjl99sjhibipnp0fi8eeias1i,769579,"2020-08-20 00:10:29",0,0
7lat5auulqnqldjio5te28dgqjuq9ulo,682770,"2020-08-20 00:10:30",0,0
14467,770134,"2020-08-20 00:10:35",0,0
88lqb6do1ng7qovdf47fsb8sau013j8j,766181,"2020-08-20 00:10:35",0,0
775ill4jq46euoqai2oiub5lka3tn4hl,616010,"2020-08-20 00:10:36",0,0
q2ohoqfleov05j3m2peqv77nk8b40v7f,769685,"2020-08-20 00:10:38",0,0
9c5oee846pot8chpe2jnvhh8qp7jn3gs,769290,"2020-08-20 00:10:39",0,0
3dhklhj8hsj6h5tggej7pufhifeuu0hf,156416,"2020-08-20 00:10:41",0,0
unki4npcdjmnqg6sfepfs4ab0n926mt4,769352,"2020-08-20 00:10:41",0,0
0jub0d21u5ft1d2ioaj2q80lv98o94eg,766181,"2020-08-20 00:10:42",0,0
cfknjk1sqpp6boblnj750e99sigravsh,735823,"2020-08-20 00:10:42",0,0
d3ofksnea972n795prtas4oa316j30nm,659003,"2020-08-20 00:10:43",0,0
9itin23f1sakq3pspocmcs26erccdo1r,698985,"2020-08-20 00:10:43",0,0
7c6hcfq6g9nhrjivr35khrsvmdbc630e,552319,"2020-08-20 00:10:44",0,0
1bviujcip6a17vkd8ug2rfbh7moq02l5,740053,"2020-08-20 00:10:44",0,0
kcqofjc6gnr6nitr191tjlecjbmqn49b,340705,"2020-08-20 00:10:46",0,0
688gr15r2oh9diehdknq46uap76ch1j7,226696,"2020-08-20 00:10:47",0,0
gard7cm919nq20iha2qmu8th5fqrvcnk,769565,"2020-08-20 00:10:47",0,0
f1gdbtj7g50psa71n1vbdmjf6efrubfu,769516,"2020-08-20 00:10:50",0,0
i8oinslrjd9tpe73c7plc817s6cimb1l,769075,"2020-08-20 00:10:53",0,0
io4q7t35r0o38qav7t3dhli336hf9oeq,616007,"2020-08-20 00:10:54",0,0
dhfdsrva12qaljo6btf1fmlqce2gferd,769398,"2020-08-20 00:10:57",0,0
kal6pp1br18t9mefg4s896bl73trgcth,623028,"2020-08-20 00:11:45",0,1
ipp9m7nm2v2trhr2urg22tqtkvelhqnb,664545,"2020-08-20 00:11:06",0,0
